source0 source1 source2 source3
28.0 121.0 185.0 251.0
33.0 120.0 151.0 268.0
49.0 117.0 183.0 294.0
30.0 108.0 169.0 253.0
38.0 108.0 164.0 233.0
39.0 87.0 145.0 231.0
33.0 109.0 197.0 251.0
35.0 107.0 175.0 244.0
33.0 110.0 216.0 276.0
29.0 92.0 166.0 249.0
21.0 112.0 155.0 207.0
26.0 81.0 147.0 245.0
39.0 137.0 188.0 288.0
45.0 124.0 181.0 260.0
33.0 89.0 171.0 279.0
34.0 113.0 144.0 243.0
45.0 109.0 208.0 269.0
39.0 133.0 177.0 257.0
26.0 97.0 179.0 244.0
29.0 124.0 183.0 257.0
45.0 102.0 193.0 240.0
26.0 84.0 192.0 254.0
32.0 92.0 200.0 269.0
33.0 139.0 186.0 260.0
48.0 104.0 177.0 280.0
41.0 97.0 170.0 251.0
26.0 98.0 151.0 259.0
37.0 110.0 163.0 231.0
32.0 110.0 178.0 267.0
31.0 89.0 144.0 222.0
35.0 100.0 182.0 266.0
33.0 114.0 157.0 231.0
41.0 121.0 186.0 252.0
31.0 101.0 166.0 236.0
31.0 113.0 189.0 247.0
32.0 95.0 175.0 222.0
34.0 111.0 150.0 246.0
36.0 110.0 174.0 225.0
38.0 114.0 173.0 238.0
27.0 92.0 150.0 239.0
39.0 97.0 158.0 234.0
42.0 105.0 157.0 237.0
34.0 94.0 146.0 237.0
37.0 100.0 161.0 274.0
35.0 130.0 181.0 258.0
34.0 102.0 190.0 268.0
44.0 118.0 193.0 287.0
40.0 113.0 191.0 257.0
35.0 87.0 202.0 296.0
44.0 106.0 238.0 278.0
47.0 90.0 182.0 212.0
43.0 104.0 186.0 253.0
34.0 110.0 180.0 254.0
34.0 95.0 159.0 258.0
17.0 89.0 142.0 185.0
31.0 105.0 191.0 263.0
33.0 101.0 158.0 186.0
40.0 112.0 165.0 227.0
37.0 122.0 209.0 253.0
37.0 92.0 176.0 267.0
25.0 92.0 183.0 225.0
39.0 115.0 191.0 276.0
33.0 102.0 194.0 258.0
35.0 99.0 169.0 220.0
35.0 125.0 176.0 223.0
28.0 115.0 185.0 248.0
29.0 103.0 185.0 277.0
36.0 116.0 184.0 232.0
50.0 104.0 190.0 276.0
30.0 104.0 178.0 239.0
27.0 106.0 157.0 228.0
44.0 102.0 172.0 250.0
40.0 117.0 171.0 257.0
31.0 117.0 184.0 241.0
33.0 102.0 156.0 241.0
27.0 107.0 193.0 251.0
40.0 127.0 198.0 253.0
40.0 129.0 200.0 263.0
53.0 122.0 216.0 264.0
37.0 115.0 197.0 257.0
46.0 114.0 166.0 251.0
34.0 109.0 159.0 263.0
33.0 91.0 169.0 228.0
38.0 102.0 162.0 237.0
26.0 89.0 162.0 257.0
40.0 103.0 193.0 235.0
30.0 110.0 186.0 260.0
23.0 120.0 173.0 252.0
25.0 99.0 177.0 215.0
35.0 117.0 187.0 257.0
42.0 94.0 180.0 267.0
46.0 111.0 181.0 252.0
44.0 111.0 190.0 252.0
41.0 106.0 204.0 263.0
29.0 116.0 206.0 280.0
45.0 111.0 193.0 257.0
26.0 119.0 166.0 227.0
37.0 108.0 196.0 269.0
34.0 117.0 195.0 273.0
26.0 117.0 189.0 250.0
