source0 source1 source2 source3
37.0 120.0 196.0 228.0
44.0 114.0 185.0 246.0
48.0 108.0 177.0 242.0
30.0 113.0 160.0 246.0
27.0 110.0 168.0 274.0
32.0 118.0 190.0 286.0
35.0 138.0 205.0 296.0
45.0 109.0 181.0 258.0
44.0 107.0 203.0 257.0
40.0 122.0 183.0 251.0
42.0 110.0 207.0 261.0
41.0 97.0 176.0 252.0
39.0 110.0 175.0 240.0
29.0 109.0 191.0 270.0
36.0 96.0 150.0 231.0
32.0 108.0 179.0 243.0
34.0 104.0 194.0 222.0
42.0 122.0 210.0 257.0
37.0 125.0 182.0 237.0
27.0 100.0 185.0 246.0
32.0 106.0 157.0 217.0
41.0 110.0 166.0 250.0
45.0 118.0 209.0 273.0
31.0 113.0 203.0 276.0
43.0 80.0 184.0 225.0
40.0 99.0 171.0 247.0
37.0 106.0 173.0 246.0
36.0 110.0 197.0 276.0
33.0 112.0 189.0 268.0
36.0 125.0 192.0 276.0
33.0 93.0 153.0 189.0
27.0 79.0 155.0 211.0
39.0 120.0 165.0 244.0
29.0 114.0 215.0 286.0
41.0 116.0 197.0 295.0
38.0 106.0 179.0 255.0
30.0 113.0 205.0 255.0
26.0 99.0 176.0 229.0
46.0 97.0 173.0 263.0
30.0 109.0 202.0 241.0
29.0 99.0 165.0 237.0
30.0 105.0 205.0 283.0
32.0 103.0 182.0 267.0
33.0 124.0 215.0 288.0
28.0 113.0 200.0 287.0
32.0 96.0 205.0 268.0
30.0 135.0 171.0 241.0
38.0 84.0 198.0 245.0
33.0 140.0 159.0 234.0
35.0 126.0 185.0 245.0
41.0 119.0 214.0 299.0
45.0 111.0 176.0 231.0
33.0 103.0 176.0 256.0
25.0 104.0 154.0 252.0
32.0 109.0 177.0 252.0
48.0 125.0 204.0 291.0
23.0 97.0 196.0 248.0
39.0 109.0 179.0 212.0
37.0 115.0 179.0 233.0
38.0 114.0 182.0 257.0
32.0 122.0 181.0 250.0
31.0 121.0 176.0 240.0
30.0 100.0 176.0 257.0
24.0 109.0 172.0 273.0
44.0 122.0 201.0 290.0
48.0 106.0 183.0 266.0
36.0 121.0 201.0 285.0
24.0 113.0 178.0 237.0
32.0 121.0 161.0 251.0
43.0 115.0 166.0 252.0
39.0 101.0 204.0 251.0
29.0 125.0 168.0 249.0
21.0 102.0 136.0 229.0
40.0 121.0 180.0 290.0
29.0 104.0 170.0 226.0
38.0 109.0 181.0 260.0
27.0 88.0 159.0 232.0
38.0 131.0 193.0 292.0
39.0 100.0 188.0 261.0
40.0 94.0 201.0 235.0
41.0 131.0 174.0 269.0
48.0 109.0 169.0 249.0
35.0 107.0 192.0 251.0
32.0 98.0 162.0 227.0
31.0 87.0 155.0 256.0
33.0 125.0 201.0 271.0
28.0 90.0 172.0 224.0
45.0 113.0 209.0 266.0
45.0 122.0 188.0 270.0
35.0 111.0 179.0 222.0
42.0 114.0 201.0 282.0
35.0 106.0 190.0 255.0
34.0 118.0 170.0 217.0
43.0 115.0 201.0 295.0
39.0 112.0 206.0 268.0
35.0 100.0 178.0 250.0
48.0 112.0 177.0 251.0
38.0 101.0 211.0 257.0
34.0 99.0 176.0 276.0
32.0 105.0 185.0 237.0
